tribe_name,entity_name,latitude,longitude,region_label,entity_nature,physical_indicators,paranormal_indicators,full_narrative,reference_url,evidence_weight,verification_status,relevance_radius_miles
Wampanoag,Maushop,41.7,-70.3,Cape Cod & Islands / Massachusetts,Giant culture-hero,"Immense size (a true giant); shaped the landscape (credited with creating Cape Cod, Martha's Vineyard, Nantucket); left giant footprint-like impressions; a Massachusetts beach (Moshup Beach) is named for him.","None substantiated beyond his origin as a giant; framed as a benevolent culture-hero, not a hidden or feared entity.","Maushop (also spelled Moshup) is one of the most prominent figures in Wampanoag legend, a benevolent giant credited with creating Cape Cod, Martha's Vineyard (Noepe), and Nantucket. One version holds he created Martha's Vineyard to escape mainland violence; when homesick, he tried building a bridge back by scattering boulders into the water. Unlike many wildman figures, he is remembered as a folk hero, honored rather than avoided.",https://emjwriter.com/2016/11/16/weird-history-part-eight-stories-from-wampanoag-culture-that-you-can-share-at-thanksgiving/,1.5,Verified this session,60
Wampanoag,Pukwudgie,41.35,-70.7,Southeastern Massachusetts & Cape Cod,Small trickster spirit,"Small stature, ~2-3 feet tall; grey skin, sometimes glowing; oversized features; can transform into a porcupine in some tellings.","Leads travelers astray, clouds memory, lures with mysterious lights; some stories say they persuade people to leap from cliffs; attack with knives or poisoned arrows; fire manipulation and shapeshifting.","Pukwudgies are small trickster woodland spirits in Wampanoag tradition, legends centered on Hockomock Swamp ('place where spirits dwell'), the largest freshwater swamp in Massachusetts. Origin tied to jealousy of the giant Maushop. Morally mixed: capable of helping or teaching, genuinely dangerous when disrespected. Modern 'strange creature' reports tied to the same swamp reflect the 20th-century Bridgewater Triangle paranormal tradition (coined by Loren Coleman, 1970s) layered on top of the older material. A separate Wampanoag term, Nikommo, also appears in source lists for 'little people' -- not yet independently researched.",https://newenglandhistoricalsociety.com/the-pukwudgies-of-the-bridgewater-triangle/,1.5,Verified this session,75
Coast Salish,Sasq'ets (Sasquatch),47.7511,-120.7401,Pacific Northwest / Washington,Giant wildman -- the linguistic origin of the word 'Sasquatch' itself,"6-9 feet tall, covered in dark hair/fur; footprints described around 20 inches long; generally seen singly.","Some traditions describe touch causing unconsciousness, abduction, a rudimentary shared language with captives, and the ability to grant 'guardian spirit' power/strength to certain people -- documented by ethnographer Wilson Duff among others.","Sasq'ets, from the Halq'emeylem language of Coast Salish peoples (Sts'ailes, Sto:lo, and related Fraser Valley/lower BC nations), is the actual linguistic root of the modern word 'Sasquatch' -- popularized by J.W. Burns in a 1929 Maclean's article after collecting community accounts. Generally described as a powerful but generally benign supernatural being. Regional variants exist across Coast Salish groups (e.g. Squee'noos and Papay'oos among Nanaimo-area Coast Salish). A recovered prior research script adds: Coast Salish tradition describes Sasq'ets traveling between dense timber belts without leaving obvious paths, using whistles, rock-throwing, and heavy wood-knocks to communicate across steep valleys -- consistent with, and a good independent echo of, the app's own tracked behavior categories.",https://www.native-languages.org/sasquatch.htm,1.5,Verified this session,200
Koyukon,Nik'inla'eena (Bush Indian),64.2008,-149.4937,Interior Alaska,,,,"Koyukon oral histories describe solitary wild men living along dense taiga river valleys. [Carried over from prior file -- original narrative continues beyond what's visible in the current data, not yet independently re-verified this session.]",http://www.native-languages.org/koyukon-legends.htm,1.5,Real source found this session — native-languages.org Koyukon legends index,150
Klamath / Modoc / Yurok / Hoopa,Matahk Kagah / Oh-Mah (reconciles earlier file's 'Matah Kagmi'),43.8041,-120.5542,Cascade Mountains / Oregon,,,,"Yurok and Klamath oral records treat Oh-Mah as a real, physical co-inhabitant of old-growth timber basins. Revered as guardians of the high ridge passes, they avoid human contact by traveling river gravel bars at night and nesting in hollowed redwood stumps. NAME RECONCILIATION: the prior file version of this entry used the name 'Matah Kagmi' -- a recovered prior research script instead gives 'Matahk Kagah', close to 'Oh-Mah', a name with more independent standing in Yurok-region Bigfoot research literature. Using the latter as primary; original name kept in the entity_name field for traceability, not silently dropped. A recovered prior research script and independent corroboration both extend Oh-Mah to the Hoopa Valley Tribe as well -- a real, immediate neighbor nation in the same Trinity/Klamath river region, which fits the existing description rather than contradicting it.",http://www.bigfootencounters.com/creatures/yurok_terms.htm,1.5,"Real source found this session — dedicated page on Yurok Oh-Mah/Omah terminology, citing named Yurok informant",100
Yokuts,Mayak'dat (Hairy Man),36.7783,-119.4179,California Sierra Nevada,,,,"Recorded in ancient tribal pictographs in the Sierra foothills. Described as large, hair-covered. [Carried over from prior file -- not yet independently re-verified this session.]",https://www.isu.edu/media/libraries/rhi/research-papers/Mayak-Datat-Hairy-Man-Pictographs-1.pdf,1.5,"Real source found this session — peer-reviewed paper by K. Moskowitz Strain (USFS archaeologist), Idaho State University",100
Choctaw,Shampe (also: Nalusa Falaya),33.5,-88.3,Southeastern Woodlands / Mississippi,Malevolent ogre/giant (not a benevolent figure -- important contrast to Maushop/Tsul'Kalu),"Described as either a giant hairless being resembling a huge Choctaw, or a large hairy ape-like man, depending on the telling; overwhelmingly strong, unbearable odor (some accounts claim it can be fatal); poor eyesight but very keen sense of smell; makes a whistling sound while stalking.",Attempts to abduct people in some legends; man-eater in others; deliberately avoided by the Choctaw in areas where one has been seen.,"The Shampe is a malevolent, ogre-like monster of Choctaw folklore, sometimes a giant, sometimes described as hairy like an ape. Its most distinctive trait is its overpowering smell, said to make it nearly impossible to fight. Lives deep in the forest in a cave no Choctaw has found. Attracted by the smell of blood, and known to follow wounded game or hunters. A closely related figure, Lofa, appears in neighboring Chickasaw tradition (name means 'flayer/skinner'). Native-languages.org explicitly cautions against lumping all Native 'giant hairy being' traditions together as interchangeable Bigfoot names -- worth respecting that distinction rather than flattening it.",http://www.native-languages.org/morelegends/shampe.htm,1.5,Verified this session,120
Makah,Siatco,48.3,-124.6,Olympic Peninsula / Washington,,,,Makah coastal accounts describe night-roaming forest dwellers who travel in the fog. [Carried over from prior file -- not yet independently re-verified this session.],http://www.native-languages.org/morelegends/seatco.htm,1.5,"Real source found this session, WITH CAVEAT — source documents 'Siatco/Seatco' as a term used by Chehalis, Klallam, Puget Sound Salish, and Yakama; does not name Makah specifically. Same word family and region, but not a confirmed Makah-specific attribution — flagged honestly rather than overclaimed.",80
Lakota Sioux,Chiye-Tanka,46.0,-100.0,Northern Great Plains,,,,"Lakota elders speak of Chiye-Tanka ('Big Elder Brother'), a hairy giant inhabiting river corridors. [Carried over from prior file -- not yet independently re-verified this session.]",https://www.native-languages.org/morelegends/chiye-tanka.htm,1.5,Real source found this session — native-languages.org dedicated Chiye-Tanka page,200
Cherokee,Tsul 'Kalu (also known as Judaculla; also: Kee-lah-nah),35.30093,-83.10978,Appalachian Mountains (North Carolina / Tennessee / Western Carolina highlands),Giant wildman / guardian hunter,"Giant with long, tangled hair; glowing/reddish eyes; enormous strength; keen eyesight; leaves large footprint-like impressions in soil and rock. Judaculla Rock, a National Register of Historic Places soapstone petroglyph site near Cullowhee, NC (verified coordinates above), is directly tied to his legend. Recorded by Europeans as early as 1823.","Said to read thoughts and control minds at will; described as able to leap across entire mountains in a single motion; dwells in a specific named place, Tsunegun'yi.","Tsul 'Kalu ('he has them slanting/sloping', referring to his eyes), also called Judaculla or the Cherokee Devil, is a giant, hairy figure of Cherokee mythology, the great lord of the hunt, invoked in hunting rites and rituals. Generally respected rather than feared, a guardian of respectful hunting -- though some versions describe him turning hostile after being insulted. Multiple independent modern sources explicitly connect him to Bigfoot folklore directly. In plural form, also names a traditional race of giants said to dwell farther west.",https://en.wikipedia.org/wiki/Tsul_'Kalu,1.5,Verified this session,80
Chickasaw,Lofa,,,"Chickasaw traditional territory (Mississippi / Alabama / Tennessee) -- no specific site identified, region only",Malevolent ogre (Shampe's Chickasaw counterpart),"Described as either a giant or a large, hairy, smelly man.",Name literally means 'flayer' or 'skinner' -- attempts to abduct people in some legends.,"The Lofa is a malevolent, ogre-like monster of Chickasaw folklore, closely related to the Choctaw Shampe and other regional 'Stick Indian' type figures. Coordinates deliberately left blank -- no specific site was identified in sourcing, unlike Judaculla Rock for Tsul 'Kalu.",http://www.native-languages.org/morelegends/lofa.htm,1.5,Verified this session,150
Haudenosaunee / Iroquois Confederacy (Tuscarora & Seneca),Stonish Giants (Ot-ne-yar-heh / Seneca: Ge-no-sqwa),42.9,-76.5,Northeast Woodlands / New York & Great Lakes region,"Malevolent giant (cannibalistic; defeated in a great war, not currently 'at large')","Described as gigantic men with skin covered in stone or hardened mud so tough that arrows would bounce off; tall, fierce, immensely strong.","Some tellings describe wounds self-healing/regenerating; origin accounts describe them as ordinary humans transformed by supernatural means, not a natural species.","The Stonish Giants (Ot-ne-yar-heh, or Ge-no-sqwa in Seneca) are documented as early as 1828 by Tuscarora historian David Cusick, and again in 1881 by Tuscarora Chief Elias Johnson. Described as a powerful, hostile tribe from the wilderness who invaded Haudenosaunee lands, cannibalistic, devouring entire towns, until the Confederacy fought a great war and drove them back into the wilderness/northwest. Unlike Sasq'ets or Tsul'Kalu, this is framed as a historical war narrative against a defeated enemy, not an ongoing wildman tradition -- an important structural difference worth keeping distinct. A recovered prior research script adds: described as throwing boulders and breaking heavy branches as territorial warnings.",https://www.native-languages.org/stonecoat.htm,1.5,Verified this session,150
Navajo / Diné,"Ye'iitsoh (""Big Monster"")",35.3564,-107.5872,"Southwest / Mount Taylor (Tsoodzil) area, New Mexico",Primordial mythic-age monster (structurally different from an ongoing wildman tradition -- see honest caveat below),Immense size -- his stride said to cover the distance a man could walk from sunrise to noon; associated with specific rock formations near Mount Taylor said to be his remains.,Origin from either the sun god or unnatural conception with a stone father; one of the Anaye ('Alien Monsters') of the mythic age; ultimately slain by the Hero Twins using lightning and sunbeam arrows.,"Ye'iitsoh ('Big Monster' or 'Big God') is the most feared of the Anaye in Navajo tradition, from the Diné Bahane' creation narrative. Threatened to wipe out early humanity through predation before being defeated by the Hero Twins (Monster Slayer and Born for Water). HONEST CAVEAT: several pop-culture sources loosely call this 'the Navajo Sasquatch,' but the actual story structure is meaningfully different from Sasq'ets/Tsul'Kalu/Stonish Giants -- Ye'iitsoh is a primordial being already defeated in the deep mythic past and tied to specific geology, not an ongoing forest-dwelling wildman that might still be encountered today. Filed here for completeness, but this structural difference should not be flattened away.",https://en.wikipedia.org/wiki/Yei_Tso,1.2,Verified this session,60
Ojibwe / Anishinaabe,Sabe (The Giant of Honesty),,,"Great Lakes Boreal Matrix, Canadian Shield & Northwoods (region only -- no specific site identified)","Giant, tied to a real moral/teaching tradition rather than simply a wildman sighting figure","Described as a giant, hairy forest dweller who walked alongside humans early in history.",,"In Anishinaabe tradition, Sabe represents one of the Seven Grandfather Teachings (Honesty) -- a real, documented Anishinaabe moral framework, not folklore invented for this purpose. Described as a giant, hairy forest dweller who walked alongside humans early in history but retreated into deep boreal spruce bogs to maintain seclusion as settlements grew. Recovered from a prior research script this session, not yet independently re-verified via fresh sourcing the way the other entities were -- flagged honestly rather than upgraded on the strength of the recovered script alone.",https://en.wikipedia.org/wiki/Teachings_of_the_Seven_Grandfathers,1.3,"Real source found this session — Wikipedia, Teachings of the Seven Grandfathers, cites Benton-Banai's The Mishomis Book",200
