name,type,latitude,longitude,notes
Elizabeth Furnace Group Camp,National Forest - Dispersed/Group Campground,38.932424,-78.321168,"George Washington & Jefferson NF, VA. Fire rings, pit toilets, no water. Official USFS coordinates."
North Creek Campground,National Forest - Dispersed Campground,37.54138889,-79.58472222,"George Washington & Jefferson NF, VA. Shady creekside sites, fishing at your door. Official USFS coordinates."
Joyce Kilmer Road (NCSR 1134) Dispersed Camping,National Forest - Dispersed Camping,35.3589519,-83.9312705,"Nantahala NF, NC. Multiple dispersed sites along the road. Official USFS coordinates."
Blue Valley Dispersed Camping,National Forest - Dispersed Camping,35.01135497,-83.23019341,"Nantahala NF, NC. ~22 dispersed sites, most with fire rings and picnic tables, pit toilet. Official USFS coordinates."
Ammons Branch Campground,National Forest - Dispersed Camping (Bull Pen Rd),35.02198941,-83.14556484,"Nantahala NF, NC. 4 dispersed sites, picnic tables, pit toilet. Official USFS coordinates."
Pearl Pass Dispersed Camping,National Forest - Dispersed Camping,39.017308,-106.81345,"White River NF, CO. 7 sites along Pearl Pass Rd, high-clearance 4x4 recommended. Official USFS coordinates."
Lincoln Creek Dispersed Camping,National Forest - Dispersed Camping,39.115492,-106.691097,"White River NF, CO. 22 sites along Lincoln Creek Rd, high-clearance 4x4 recommended. Official USFS coordinates."
Hansen Mill Dispersed Camping,National Forest - Dispersed Camping,37.8131,-106.7369,"Rio Grande NF, CO. Small horse-friendly area, 10,800 ft elevation, vault toilet. Official USFS coordinates."
Winfield Dispersed Camping Area,National Forest - Dispersed Camping,38.98488333,-106.44146778,"Pike-San Isabel NF, CO. Near Winfield historic site and Clear Creek. Official USFS coordinates."
FR 195 Campground,National Forest - Dispersed Camping,34.34693611,-110.9613833,"Apache-Sitgreaves NF, AZ. Restrooms available, no potable water. Official USFS coordinates."
Harves River Dispersed Camping,National Forest - Dispersed Camping,38.76908056,-111.6522306,"Fishlake NF, UT. Meadow at 9,500 ft, vault toilet, near Farnsworth Reservoir fishing. Official USFS coordinates."
Cold Springs Dispersed Camping,National Forest - Dispersed Camping,38.7826,-111.6438,"Fishlake NF, UT. Vault toilet, ATV/hiking access. Official USFS coordinates."
Salina Reservoir Dispersed Camping,National Forest - Dispersed Camping,38.7594,-111.6535,"Fishlake NF, UT. Vault toilet, reservoir fishing access. Official USFS coordinates."
Twin Ponds Dispersed Camping,National Forest - Dispersed Camping,38.7869,-111.6417,"Fishlake NF, UT. 9,000 ft elevation, aspen-shaded, fishing at Twin Ponds reservoir. Official USFS coordinates."
Derrick Road Dispersed Camping Area,National Forest - Dispersed Camping,45.31703,-123.9434,"Siuslaw NF, OR. Near Sand Lake Recreation Area OHV area, vault toilets, fire rings. Official USFS coordinates."
South Lake Dispersed Area,National Forest - Dispersed Camping,45.20191,-123.7204,"Siuslaw NF, OR. Along northern edge of South Lake, vault toilet, non-motorized boat launch. Official USFS coordinates."
Halfway Flat Dispersed Campground,National Forest - Dispersed Camping,46.978,-121.098,"Okanogan-Wenatchee NF, WA. Near Chinook Pass/Mt. Rainier NP, first-come first-served, small fee. Official USFS coordinates."
